County,State,gisjoin,Obama 2012 %,Romney 2012 %,Other 2012 %,Obama 2012 Margin %,Obama 2-Party Margin,Clinton 2016 %,Trump 2016 %,Other 2016 %,Clinton 2016 Margin %,Clinton 2-Party Margin,2012 to 2016 Swing,2012 to 2016 2-Party Swing
Roanoke,Virginia,G5101610,0.365327919,0.617451237,0.017220845,-0.252123318,-0.256541174,0.334051933,0.609994368,0.055953699,-0.275942434,-0.292297564,-0.023819116,-0.03575639
Roanoke City,Virginia,G5107700,0.601021044,0.373328353,0.025650604,0.227692691,0.233686901,0.564688593,0.374727614,0.060583794,0.189960979,0.202211733,-0.037731712,-0.031475168
Rockbridge,Virginia,G5101630,0.401690086,0.579542105,0.01876781,-0.177852019,-0.181253755,0.324965262,0.618805002,0.056229736,-0.293839741,-0.311346682,-0.115987721,-0.130092927
Rockingham,Virginia,G5101650,0.288676648,0.693684392,0.017638961,-0.405007744,-0.412279934,0.249846614,0.693307013,0.056846373,-0.4434604,-0.470188935,-0.038452656,-0.057909002
Russell,Virginia,G5101670,0.307577763,0.676704169,0.015718068,-0.369126406,-0.375021012,0.190266209,0.77747836,0.03225543,-0.587212151,-0.606784238,-0.218085745,-0.231763226
Salem City,Virginia,G5107750,0.386426368,0.592547492,0.021026141,-0.206121124,-0.210548138,0.343721881,0.591083845,0.065194274,-0.247361963,-0.264613231,-0.04124084,-0.054065092
Scott,Virginia,G5101690,0.239691753,0.744495597,0.01581265,-0.504803843,-0.512914379,0.156534654,0.816534654,0.026930693,-0.66,-0.678266178,-0.155196157,-0.1653518
Shenandoah,Virginia,G5101710,0.33391834,0.647189387,0.018892273,-0.313271047,-0.319303415,0.257056501,0.687076488,0.055867011,-0.430019987,-0.455465483,-0.11674894,-0.136162068
Smyth,Virginia,G5101730,0.326445958,0.655787744,0.017766299,-0.329341786,-0.335298805,0.206749418,0.75640031,0.036850272,-0.549650892,-0.570680628,-0.220309106,-0.235381823
Southampton,Virginia,G5101750,0.478950777,0.510902418,0.010146805,-0.031951641,-0.032279171,0.404933544,0.567132237,0.027934219,-0.162198693,-0.166859791,-0.130247053,-0.13458062
Spotsylvania,Virginia,G5101770,0.434073895,0.549280712,0.016645393,-0.115206817,-0.11715694,0.386928167,0.553419008,0.059652824,-0.166490841,-0.177052524,-0.051284024,-0.059895584
Stafford,Virginia,G5101790,0.44867372,0.536123995,0.015202284,-0.087450275,-0.088800241,0.423271757,0.51366518,0.063063063,-0.090393424,-0.096477596,-0.002943149,-0.007677355
Staunton City,Virginia,G5107900,0.510972346,0.47029438,0.018733274,0.040677966,0.041454545,0.473833852,0.456063972,0.070102177,0.01776988,0.019109497,-0.022908086,-0.022345048
Suffolk City,Virginia,G5108000,0.570102899,0.418643988,0.011253113,0.151458911,0.153182693,0.538390379,0.416419982,0.045189639,0.121970398,0.127743061,-0.029488513,-0.025439632
Surry,Virginia,G5101810,0.597957289,0.387883008,0.014159703,0.21007428,0.213091594,0.537369915,0.430227058,0.032403027,0.107142857,0.110730873,-0.102931423,-0.102360721
Sussex,Virginia,G5101830,0.617279412,0.371507353,0.011213235,0.245772059,0.248559212,0.570777161,0.40741475,0.021808089,0.163362411,0.167004459,-0.082409648,-0.081554753
Tazewell,Virginia,G5101850,0.206462892,0.780678998,0.01285811,-0.574216107,-0.581695613,0.155930195,0.81697727,0.027092535,-0.661047075,-0.67945524,-0.086830969,-0.097759627
Virginia Beach City,Virginia,G5108100,0.479549026,0.50493539,0.015515584,-0.025386364,-0.025786456,0.447855477,0.483238382,0.068906141,-0.035382905,-0.038001437,-0.009996541,-0.012214981
Warren,Virginia,G5101870,0.38639358,0.591028866,0.022577554,-0.204635286,-0.209362171,0.287806236,0.655512249,0.056681514,-0.367706013,-0.389800496,-0.163070728,-0.180438324
Washington,Virginia,G5101910,0.276061174,0.707748127,0.016190699,-0.431686954,-0.438791292,0.214841181,0.747475529,0.03768329,-0.532634348,-0.553491738,-0.100947395,-0.114700446
Waynesboro City,Virginia,G5108200,0.436810374,0.544875441,0.018314185,-0.108065067,-0.110081113,0.408952629,0.521621034,0.069426336,-0.112668405,-0.121074139,-0.004603338,-0.010993026
Westmoreland,Virginia,G5101930,0.528940887,0.459482759,0.011576355,0.069458128,0.070271617,0.447399114,0.5187777,0.033823186,-0.071378586,-0.073877354,-0.140836715,-0.144148971
Williamsburg City,Virginia,G5108300,0.632808467,0.346153846,0.021037687,0.286654621,0.292814766,0.682664569,0.252425911,0.06490952,0.430238657,0.460103772,0.143584037,0.167289006
Winchester City,Virginia,G5108400,0.494755245,0.48038073,0.024864025,0.014374514,0.014741036,0.484109872,0.449048467,0.066841661,0.035061404,0.037572835,0.02068689,0.022831799
Wise,Virginia,G5101950,0.250366227,0.737514982,0.012118791,-0.487148755,-0.493124832,0.178130977,0.79707182,0.024797204,-0.618940843,-0.63467911,-0.131792088,-0.141554279
Wythe,Virginia,G5101970,0.306117495,0.673571775,0.02031073,-0.367454281,-0.375072272,0.20759949,0.752904145,0.039496365,-0.545304654,-0.56772784,-0.177850374,-0.192655568
York,Virginia,G5101990,0.388272023,0.595057874,0.016670103,-0.206785851,-0.210291431,0.381001231,0.552113254,0.066885515,-0.171112023,-0.183377309,0.035673828,0.026914122
Adams,Washington,G5300010,0.321301899,0.661589819,0.017108283,-0.34028792,-0.346210996,0.279715762,0.663867356,0.056416882,-0.384151594,-0.407120037,-0.043863674,-0.060909041
Asotin,Washington,G5300030,0.404302596,0.571053429,0.024643975,-0.166750833,-0.170964068,0.32189811,0.589667215,0.088434675,-0.267769104,-0.293746479,-0.101018271,-0.122782411
Benton,Washington,G5300050,0.353762616,0.621689564,0.02454782,-0.267926947,-0.274669484,0.329388831,0.589725968,0.080885201,-0.260337136,-0.283247682,0.007589811,-0.008578198
Chelan,Washington,G5300070,0.406573643,0.570604651,0.022821705,-0.164031008,-0.167861903,0.390413421,0.542660276,0.066926303,-0.152246854,-0.16316702,0.011784153,0.004694883
Clallam,Washington,G5300090,0.488099617,0.484342983,0.0275574,0.003756633,0.00386309,0.448006691,0.47631599,0.07567732,-0.028309299,-0.030627074,-0.032065932,-0.034490164
Clark,Washington,G5300110,0.489410655,0.487151804,0.023437541,0.002258851,0.002313063,0.463414269,0.461835532,0.0747502,0.001578737,0.001706282,-0.000680114,-0.000606781
Columbia,Washington,G5300130,0.285524568,0.694112439,0.020362992,-0.408587871,-0.417080886,0.241063245,0.686067828,0.072868928,-0.445004583,-0.479980227,-0.036416712,-0.062899342
Cowlitz,Washington,G5300150,0.509323174,0.464948454,0.025728373,0.04437472,0.045546559,0.391928565,0.529304911,0.078766524,-0.137376346,-0.149122182,-0.181751066,-0.194668741
Douglas,Washington,G5300170,0.345736849,0.63077232,0.023490831,-0.285035471,-0.291892262,0.316412533,0.617834395,0.065753072,-0.301421862,-0.322636182,-0.016386391,-0.03074392
Ferry,Washington,G5300190,0.376162791,0.579941861,0.043895349,-0.20377907,-0.213134691,0.304915301,0.611496806,0.083587892,-0.306581505,-0.334545455,-0.102802435,-0.121410763
Franklin,Washington,G5300210,0.37088725,0.607163362,0.021949388,-0.236276112,-0.241578615,0.374620573,0.556745363,0.068634064,-0.182124789,-0.195545899,0.054151323,0.046032716
Garfield,Washington,G5300230,0.262910798,0.714397496,0.022691706,-0.451486698,-0.461969576,0.223916533,0.682985554,0.093097913,-0.459069021,-0.50619469,-0.007582323,-0.044225115
Grant,Washington,G5300250,0.324769577,0.647797373,0.02743305,-0.323027796,-0.332139393,0.275523883,0.653284414,0.071191703,-0.377760531,-0.406715284,-0.054732735,-0.074575892
