FIPS,gisjoin,state,county,total_votes,dem_margin,past_pres_partisanship,CVAP,median_age,bachelor %,median_income,rural %,white %,black %,native %,asian %,hispanic %,evangelical,protestant,catholic,mormon,total_religious,black_protestant
13201,G1302010,Georgia,Miller County,2540,-0.498428,-0.3794595,4540,40.3,0.11402648,36463,1,0.68753172,0.3038403,0.00642869,0,0.00101506,0.32,0.063179,0,0,0.38367,0
13205,G1302050,Georgia,Mitchell County,7857,-0.099746,-0.0089426,16900,37.9,0.11994003,31111,0.545,0.46356133,0.47453683,0.00087804,0.00417069,0.04381421,0.37922,0.04988,0.011019,0,0.52234,0.082049
13207,G1302070,Georgia,Monroe County,12675,-0.414676,-0.3727295,21050,42.8,0.22184732,50625,0.802,0.72052951,0.23665138,0.00192279,0.00887443,0.02322142,0.2338,0.05896,0,0,0.367319,0.073
13209,G1302090,Georgia,Montgomery County,3560,-0.509787,-0.3984864,6715,38.7,0.15552592,38111,0.987,0.64797335,0.26052193,0.00210994,0.00344253,0.06374237,0.300339,0.041869,0,0,0.40206,0.05985
13211,G1302110,Georgia,Morgan County,9435,-0.411187,-0.3803035,13630,44.1,0.20770547,54506,0.754,0.71738282,0.23596946,0.00055732,0.00039012,0.03098701,0.338089,0.12833,0.01976,0.007049,0.52686,0.033409
13213,G1302130,Georgia,Murray County,12422,-0.685584,-0.5260765,27310,37.4,0.10864848,38136,0.701,0.83772041,0.00983282,0.00053356,0.00416688,0.13964124,0.32043,0.02367,0,0,0.3441,0
13215,G1302150,Georgia,Muscogee County,68320,0.186508,0.21334788,146005,33.6,0.25001949,42661,0.03,0.41752245,0.44483108,0.00323011,0.02332966,0.07391302,0.34425,0.105409,0.04602,0.014429,0.62073,0.09529
13217,G1302170,Georgia,Newton County,43787,0.023416,0.02009992,72890,36.1,0.19813888,51068,0.312,0.4961165,0.42255609,0.00127044,0.00998066,0.04905631,0.227409,0.069409,0.03171,0.006099,0.34799,0.0123
13219,G1302190,Georgia,Oconee County,19030,-0.3893,-0.4870068,24415,39.8,0.46557892,75946,0.503,0.85158678,0.05383365,0.00068433,0.03837929,0.04647715,0.376519,0.11348,0,0,0.51006,0.01356
13221,G1302210,Georgia,Oglethorpe County,6650,-0.418639,-0.372549,11195,42.3,0.1661562,44403,0.993,0.76076782,0.16618056,0.00135658,0.00535848,0.04001899,0.19162,0.014359,0,0,0.22465,0.016379
13223,G1302230,Georgia,Paulding County,64601,-0.410495,-0.4359135,104740,35.4,0.24633357,60971,0.201,0.73737569,0.17481813,0.0019689,0.00901689,0.05629046,0.191689,0.0361,0.01907,0.00796,0.26397,0.007809
13225,G1302250,Georgia,Peach County,10699,-0.029111,0.07476554,20060,34.9,0.20150682,41128,0.382,0.45787342,0.44951128,0.00081763,0.01118668,0.07247185,0.28872,0.050119,0.026359,0,0.475649,0.09345
13227,G1302270,Georgia,Pickens County,13982,-0.688987,-0.6760252,23350,44.8,0.24756991,56769,0.731,0.93748333,0.01196986,0.00040011,0.00580155,0.03044145,0.123239,0.06734,0.04584,0,0.24906,0.012369
13229,G1302290,Georgia,Pierce County,7297,-0.738476,-0.6635992,13885,38.9,0.12901466,42730,0.794,0.84019969,0.08260641,0.00336311,0.00257488,0.05097215,0.53657,0.04889,0,0,0.592169,0.006719
13231,G1302310,Georgia,Pike County,8675,-0.692034,-0.6550746,13275,39.4,0.15306805,50819,0.99,0.86689458,0.10469092,0,0.00465168,0.01434736,0.34468,0.032119,0,0,0.39672,0.017629
13233,G1302330,Georgia,Polk County,14158,-0.573127,-0.4553204,28485,37.4,0.12984274,39356,0.514,0.72040327,0.12265226,0,0.00584058,0.12812932,0.440889,0.061049,0.07867,0.007469,0.614149,0.025899
13235,G1302350,Georgia,Pulaski County,3598,-0.369764,-0.3326996,9260,41.4,0.11812433,38880,0.667,0.59415358,0.33795812,0,0,0.0469459,0.329639,0.057789,0,0,0.407579,0.01499
13237,G1302370,Georgia,Putnam County,9431,-0.39903,-0.3566471,16335,45.3,0.18292604,45762,0.809,0.65407592,0.26172445,0.0000941,0.00301049,0.06500776,0.21406,0.076349,0,0,0.336699,0.045429
13239,G1302390,Georgia,Quitman County,1044,-0.109195,0.09042553,1680,48.1,0.08560558,29773,0.731,0.48210024,0.48926014,0.00477327,0.00572792,0.01002387,0.277759,0.042579,0,0,0.534019,0.213289
13241,G1302410,Georgia,Rabun County,7949,-0.605981,-0.5621064,12795,48.4,0.26335659,38277,0.793,0.87083129,0.01955616,0.0039848,0.00680481,0.08018637,0.503689,0.111819,0.123989,0,0.82858,0
