county,state,white_only_noncollege_pct,white_only_educated_pct,hispanic_only_pct,hispanic_educated_pct,asian_only_pct,asian_educated_pct,black_only_pct,black_educated_pct,white_and_white_hispanic_educated_pct,white_and_white_hispanic_noncollege_pct,other_pct,FIPS
Kendall,Texas,0.400147483,0.307535027,0.166588456,0.034624925,0.008111551,0.004089294,0.007072468,0.001608903,0.341321982,0.506804317,0.110545016,48259
Kenedy,Texas,0.116336634,0.03960396,0.705445545,0.056930693,0.002475248,0.002475248,0,0,0.096534653,0.737623762,0.136138614,48261
Kent,Texas,0.563909774,0.223684211,0.142857143,0,0,0,0,0,0.223684211,0.644736842,0.069548872,48263
Kerr,Texas,0.473299897,0.214608841,0.174435757,0.014358067,0.009391749,0.002311059,0.01162905,0.001130944,0.227024635,0.602645425,0.116634705,48265
Kimble,Texas,0.604921579,0.148729043,0.170903191,0.008923743,0,0,0,0,0.157652785,0.723634397,0.075446187,48267
King,Texas,0.541284404,0.224770642,0.201834862,0,0,0,0,0,0.224770642,0.743119266,0.032110092,48269
Kinney,Texas,0.304105776,0.085942937,0.501391788,0.032011134,0,0,0.001043841,0,0.117954071,0.763743911,0.107515658,48271
Kleberg,Texas,0.111291127,0.078597541,0.497299767,0.085576604,0.014373546,0.008765371,0.027625457,0.009180791,0.160476903,0.481222998,0.270812562,48273
Knox,Texas,0.460057061,0.154422254,0.22681883,0.005349501,0.000713267,0,0.04957204,0.002853067,0.158345221,0.638730385,0.108416548,48275
Lamar,Texas,0.57414248,0.130263852,0.044591029,0.003007916,0.006728232,0.002137203,0.099815303,0.008047493,0.130817942,0.608654354,0.144459103,48277
Lamb,Texas,0.314203435,0.110768281,0.408927286,0.03414584,0.007096575,0.004936748,0.033425897,0.007507971,0.137097604,0.644039905,0.125578525,48279
Lampasas,Texas,0.543242717,0.160968014,0.133653409,0.005579705,0.011808214,0.002595212,0.032050866,0.010380847,0.165055473,0.636410822,0.118276779,48281
La Salle,Texas,0.100855634,0.055525214,0.67649736,0.071909703,0.001820499,0,0.017112689,0,0.100309485,0.590569816,0.148188604,48283
Lavaca,Texas,0.587735034,0.13753239,0.120922198,0.00604611,0.004650854,0.002192545,0.053351937,0.000730848,0.13925985,0.613248289,0.095807588,48285
Lee,Texas,0.503839293,0.124796401,0.138757465,0.007756147,0.003335143,0.001008299,0.099201117,0.014503994,0.131311564,0.59830916,0.130070581,48287
Leon,Texas,0.597381718,0.142550911,0.08459654,0.000995253,0.004593477,0.001607717,0.06775379,0.004210687,0.143393049,0.673020977,0.103123565,48289
Liberty,Texas,0.546801129,0.074555287,0.143362471,0.004438625,0.005356961,0.000697255,0.091680555,0.006088228,0.076868134,0.646950784,0.138243597,48291
Limestone,Texas,0.476108552,0.111271436,0.130584383,0.004384261,0.003884788,0.00055497,0.144014651,0.013152783,0.114989733,0.588545424,0.13413619,48293
Lipscomb,Texas,0.506661442,0.14145768,0.213949843,0.010971787,0.004310345,0.003918495,0.002742947,0,0.151253918,0.615595611,0.130877743,48295
Live Oak,Texas,0.451073232,0.087436869,0.314499158,0.009574916,0.016414141,0.001473064,0.037142256,0.002314815,0.097011785,0.708438552,0.093434343,48297
Llano,Texas,0.60922447,0.240546724,0.061476397,0.004455684,0.0040342,0,0.006322254,0.002829961,0.244821773,0.652757707,0.078395954,48299
Loving,Texas,0.671428571,0.028571429,0.128571429,0,0,0,0,0,0.028571429,0.8,0.171428571,48301
Lubbock,Texas,0.288349732,0.173971377,0.230831843,0.021341682,0.016341682,0.011037567,0.051766547,0.006109123,0.19108229,0.436833631,0.238738819,48303
Lynn,Texas,0.366113744,0.12535545,0.358530806,0.015402844,0.004028436,0,0.018720379,0.009478673,0.130805687,0.617061611,0.127251185,48305
McCulloch,Texas,0.516515079,0.136748045,0.24254029,0.007978299,0,0,0.01388224,0.001914792,0.144247646,0.678953247,0.090314345,48307
McLennan,Texas,0.362461865,0.144525484,0.164000394,0.012241528,0.009983488,0.005276049,0.110233896,0.013723196,0.154448831,0.481427212,0.208794874,48309
McMullen,Texas,0.380670611,0.151873767,0.390532544,0,0,0,0,0,0.151873767,0.731755424,0.076923077,48311
Madison,Texas,0.390163099,0.086901121,0.17006456,0.007730207,0.008154944,0,0.162164458,0.007305471,0.093357119,0.508154944,0.182551818,48313
Marion,Texas,0.600816131,0.082693231,0.03168507,0.008881421,0.003840614,0.002640422,0.204512722,0.024003841,0.091574652,0.618458953,0.076452232,48315
Martin,Texas,0.341354957,0.139680879,0.345801726,0.017787078,0,0,0.006016218,0,0.157467957,0.563170285,0.16714622,48317
Mason,Texas,0.515558267,0.202562538,0.212934716,0.019219036,0.007016473,0.001830384,0,0,0.219035998,0.647345943,0.061928005,48319
Matagorda,Texas,0.360571786,0.103857348,0.299708949,0.019342003,0.015657812,0.001105257,0.090557418,0.007663118,0.119036216,0.577791696,0.129646686,48321
Maverick,Texas,0.01869887,0.008258668,0.787611998,0.086118686,0.005427867,0.001506298,0.001662122,0.001246591,0.089313076,0.67357486,0.178340475,48323
Medina,Texas,0.321509952,0.116952642,0.395003432,0.043898421,0.006369252,0.002580645,0.022374743,0.003788607,0.156266301,0.633136582,0.137789979,48325
