FIPS,gisjoin,state,county,total_votes,dem_margin,CVAP,median_age,bachelor %,median_income,rural %,white %,black %,native %,asian %,hispanic %,evangelical,protestant,catholic,mormon
37003,G3700030,North Carolina,Alexander,17196,-0.444405676,27945,41.1,0.11131394,39544,0.728,0.910538558,0.059044552,0.001789229,0.006441224,0.015745214,0.448839,0.12495,0.012823,0
37005,G3700050,North Carolina,Alleghany,5067,-0.356621275,8460,46,0.149069853,32449,1,0.947399527,0.01536643,0.001182033,0.001182033,0.031914894,0.30775,0.081579,0.01766,0.00663
37007,G3700070,North Carolina,Anson,11256,0.253464819,20200,39.5,0.087613457,34772,0.785,0.493811881,0.488366337,0.006930693,0.005445545,0.003712871,0.305769,0.08479,0.006531,0
37009,G3700090,North Carolina,Ashe,12610,-0.327200634,20980,45.4,0.188459423,35670,0.849,0.981172545,0.004051478,0.005958055,0.001429933,0.004051478,0.35717,0.099849,0.0217,0
37011,G3700110,North Carolina,Avery,7759,-0.500579972,14260,42.2,0.204144519,38051,0.888,0.880785414,0.047335203,0.009467041,0.002454418,0.014375877,0.320899,0.05507,0.021914,0.00478
37013,G3700130,North Carolina,Beaufort,23620,-0.192294666,35365,44,0.183342733,40147,0.656,0.726565814,0.258447618,0.001272445,0.002120741,0.00777605,0.328269,0.140139,0.021359,0.006969
37015,G3700150,North Carolina,Bertie,10123,0.326780599,16560,43.1,0.111663866,31194,0.832,0.371678744,0.61986715,0.003019324,0.002113527,0.000241546,0.27911,0.028899,0.003569,0
37017,G3700170,North Carolina,Bladen,15957,0.019677884,25435,41,0.111092479,30031,0.912,0.599764105,0.357381561,0.020837429,0.000786318,0.00825634,0.307699,0.08625,0.006309,0
37019,G3700190,North Carolina,Brunswick,57362,-0.221488093,85535,47.6,0.246500012,46490,0.43,0.857719062,0.104869352,0.002513591,0.002455135,0.01701058,0.17799,0.08373,0.05382,0.010289
37021,G3700210,North Carolina,Buncombe,127696,0.124702418,182185,40.7,0.327269512,44206,0.241,0.895600626,0.060899635,0.003814804,0.007711941,0.020995142,0.347,0.099549,0.03706,0.0074
37023,G3700230,North Carolina,Burke,36544,-0.234402364,67775,41.4,0.162369271,38062,0.427,0.88793803,0.067502767,0.002655847,0.021910734,0.010770933,0.45605,0.107599,0.011253,0.0084
37025,G3700250,North Carolina,Cabarrus,83566,-0.199937774,121595,36.7,0.242308718,54341,0.193,0.799868416,0.148772565,0.002138246,0.012171553,0.027221514,0.32431,0.157169,0.047593,0.00725
