name_2012,gisjoin,state_2012,2012votes,swing2008to12,obamamargin2012,medianage_2012,bachelorabove_2012,medianincome_2012,rural,white_2012,black_2012,native_2012,asian_2012,hispanic_2012,otherrace_2012,evangelical_2012,mainlineprotestant_2012,catholic_2012,mormon_2012,other religion,County Power Index 2012
Putnam,G1201070,Florida,31324,-0.05153924,-0.244509003,43.2,0.123358248,34429,0.562,0.795738093,0.146525817,0.003824788,0.006465714,0.03706402,0.010381568,0.273949,0.0502,0.03742,0.019589,0.00424,0.00369641
St. Johns,G1201090,Florida,114795,-0.061542855,-0.377394486,42.2,0.407065312,64346,0.238,0.881150828,0.050322581,0.001394943,0.014681779,0.041394943,0.011054926,0.12437,0.059609,0.142879,0.00678,0.024419,0.01354645
St. Lucie,G1201110,Florida,123027,-0.04261401,0.078576247,42.5,0.190616633,43923,0.034,0.713137205,0.156860259,0.002612224,0.012731423,0.105833122,0.008825767,0.11259,0.02837,0.121659,0.003259,0.006491,0.01451787
Santa Rosa,G1201130,Florida,76846,-0.046837826,-0.525961013,39.2,0.25804243,57491,0.21,0.871713847,0.055957867,0.006495501,0.015229318,0.032301953,0.018301514,0.280279,0.10392,0.044039,0.009589,0.00235,0.00906825
Sarasota,G1201150,Florida,207480,-0.073134137,-0.074151725,52.6,0.29909246,48900,0.043,0.90190162,0.0372366,0.001873435,0.008886384,0.043387436,0.006714525,0.121989,0.0822,0.200289,0.004429,0.01952,0.02448379
Seminole,G1201170,Florida,208620,-0.036847368,-0.064701371,38.3,0.336330246,58577,0.032,0.717822105,0.101349369,0.002216355,0.030197842,0.138017014,0.010397314,0.17409,0.041429,0.15968,0.008269,0.01331,0.02461831
Sumter,G1201190,Florida,60479,-0.078904683,-0.349245193,63,0.22579313,46981,0.35,0.859484778,0.087491743,0.002942413,0.005644629,0.038671711,0.005764727,0.120079,0.06175,0.04084,0.00239,0.00015,0.00713686
Suwannee,G1201210,Florida,17629,-0.017994986,-0.449316467,42.2,0.097771093,36159,0.832,0.823067052,0.118703882,0.001924928,0.004491498,0.038017324,0.013795316,0.388819,0.034659,0.02575,0.02257,0.00046,0.00208032
Taylor,G1201230,Florida,9120,0.008007336,-0.382127193,41.2,0.110057632,34634,0.693,0.737902098,0.208391608,0.008111888,0.006713287,0.028251748,0.010629371,0.393889,0.038329,0.01232,0.0074,0.00013,0.00107621
Union,G1201250,Florida,5393,0.008682793,-0.489708882,39.8,0.101451939,43750,0.674,0.708333333,0.229166667,0.004493464,0.004493464,0.044934641,0.008578431,0.16711,0.00644,0,0.030769,0.000191,0.0006364
Volusia,G1201270,Florida,234536,-0.068523146,-0.011691169,45.3,0.20999804,43419,0.099,0.802516178,0.093155427,0.002480011,0.010204213,0.083351632,0.008292538,0.15856,0.05974,0.10298,0.0077,0.0066,0.02767655
Wakulla,G1201290,Florida,14660,-0.032643461,-0.280695771,39.5,0.165058597,53385,0.617,0.797616514,0.149393488,0.007022771,0.007022771,0.027665461,0.011278996,0.146669,0.032009,0.00975,0.012609,0.00393,0.00172996
Walton,G1201310,Florida,28494,-0.062076916,-0.520074402,43,0.242222056,44254,0.631,0.879477307,0.053085988,0.010500525,0.00746704,0.03173492,0.01773422,0.238599,0.06039,0.06609,0.01581,0.0001,0.00336245
Washington,G1201330,Florida,10999,0.003088519,-0.474406764,40.8,0.120757741,38536,0.846,0.801201672,0.14446186,0.004963427,0.000522466,0.023772205,0.02507837,0.300329,0.028679,0.01305,0,0,0.00129794
Appling,G1300010,Georgia,7086,-0.027424768,-0.490403613,38.8,0.113386084,35875,0.714,0.776346604,0.197111632,0.00078064,0.003512881,0.020686963,0.00156128,0.664019,0.080719,0.040689,0,0.00005,0.0018169
Atkinson,G1300030,Georgia,2902,-0.001960983,-0.347346658,34.2,0.086981903,28682,1,0.713438735,0.214426878,0.000790514,0,0.071146245,0.000197628,0.21612,0.035579,0.018149,0.055399,0,0.00074409
